Credit Note Number,Credit Note Reference,Credit From Bill,Billing Supplier,Supplier,Supplier Acc. No,Date,Description,Quantity,Unit Price,Net Amount,Tax Amount,Total Amount,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Purchase Account Code,Purchase Account,Tags,Created At,Finalized
27,3940354001,3940353959,REPCO Chinchilla,REPCO Chinchilla,"",27/04/2023,RSK53 - FILTER - SERVICE KIT,1.0,72.0,72.0,7.2,79.2,RSK53,FILTER - SERVICE KIT [MITSUBISHI],,,,,"",2023-05-04 12:50:35 +1000,Y
28,3940355097,3940355046,REPCO Chinchilla,REPCO Chinchilla,"",10/05/2023,M7108 - REAR MUFFLER STD REPLACEMENT,1.0,317.0,317.0,31.7,348.7,M7108,REAR MUFFLER STD REPLACEMENT,,,,,"",2023-05-14 17:01:46 +1000,Y
29,3940355113,3940351022,REPCO Chinchilla,REPCO Chinchilla,"",10/05/2023,MXA2052 - ALT 12V 100A MITSUBISHI STYLE,1.0,327.0,327.0,32.7,359.7,MXA2052,ALT 12V 100A MITSUBISHI STYLE,,,,,"",2023-05-14 17:03:04 +1000,Y
30,3940355114,3940350975,REPCO Chinchilla,REPCO Chinchilla,"",10/05/2023,PUX601 - PULLEY - FLAT 70MM OD,1.0,29.0,29.0,2.9,31.9,PUX601,PULLEY - FLAT 70MM OD,,,,,"",2023-05-14 17:03:50 +1000,Y
31,3940355095,3940354691,REPCO Chinchilla,REPCO Chinchilla,"",10/05/2023,MAG014R - GASKET,1.0,2.4,2.4,0.24,2.64,MAG014R,GASKET,,,,,"",2023-05-16 17:07:58 +1000,Y
31,3940355095,3940354691,REPCO Chinchilla,REPCO Chinchilla,"",10/05/2023,334395 - STRUT - EXCEL G GAS,1.0,269.0,269.0,26.9,295.9,334395,STRUT - EXCEL G GAS,,,,,"",2023-05-16 17:07:58 +1000,Y
31,3940355095,3940354691,REPCO Chinchilla,REPCO Chinchilla,"",10/05/2023,334394 - STRUT - EXCEL G GAS,1.0,269.0,269.0,26.9,295.9,334394,STRUT - EXCEL G GAS,,,,,"",2023-05-16 17:07:58 +1000,Y
32,78104,78104,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",18/04/2023,B1693010135T - 16.9-30 (10) TR-135 (R-1) BKT,2.0,826.0,1652.0,165.2,1817.2,B1693010135T,16.9-30 (10) TR-135 (R-1) BKT,,,,,"",2023-05-21 13:04:48 +1000,Y
33,78104-2,,TOP TYRES AUSTRAILIA PTY LTD,TOP TYRES AUSTRAILIA PTY LTD,"",18/04/2023,B1693010135T - 16.9-30 (10) TR-135 (R-1) BKT,2.0,826.0,1652.0,165.2,1817.2,B1693010135T,16.9-30 (10) TR-135 (R-1) BKT,,,,,"",2023-05-21 13:06:14 +1000,Y
34,3940356026,3940355820,REPCO Chinchilla,REPCO Chinchilla,"",19/05/2023,TCK316 - POWERGRIP TIMING COMPONENT KIT,1.0,165.0,165.0,16.5,181.5,TCK316,POWERGRIP TIMING COMPONENT KIT,,,,,"",2023-05-21 13:19:30 +1000,Y
36,3940357398,3940356989,REPCO Chinchilla,REPCO Chinchilla,"",05/06/2023,DB1365 4WD - PAD SET-DISC BRAKE,2.0,84.0,168.0,16.8,184.8,DB1365 4WD,PAD SET-DISC BRAKE,,,,,"",2023-06-05 11:04:16 +1000,Y
36,3940357398,3940356989,REPCO Chinchilla,REPCO Chinchilla,"",05/06/2023,DB1200-4WD - DISC BRAKE 4WD PAD SET,2.0,84.0,168.0,16.8,184.8,DB1200-4WD,DISC BRAKE 4WD PAD SET,,,,,"",2023-06-05 11:04:16 +1000,Y
37,3940357269,3940357057,REPCO Chinchilla,REPCO Chinchilla,"",02/06/2023,KDRS-67 - SPRING SET-COIL,1.0,194.32,194.32,19.432,213.75,KDRS-67,SPRING SET-COIL,,,,,"",2023-06-06 15:26:31 +1000,Y
