PO Number,PO Status,Supplier,Creditor,Date,Due Date,Description,Category,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Brand,Stock Name,Stock Barcode,Job Number
PO100040,paid,REPCO Chinchilla,,13/03/2024,,280ARWM - LED Trailer Lamp-280S-Combo,Parts,104.0,0.0,0.0,0.0,0.0,Y,280ARWM,,LED Trailer Lamp-280S-Combo,,
PO100040,paid,REPCO Chinchilla,,13/03/2024,,18278BL - 12V T20 W215W WDG LED GLBS 2700K,Parts,34.5,1.0,34.5,3.45,37.95,Y,18278BL,,12V T20 W215W WDG LED GLBS 2700K,,
PO100041,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,TS009 - Spring Pack 9 Leaf,Parts,227.48,1.0,227.48,22.748,250.23,Y,TS009,,Spring Pack 9 Leaf,,54862
PO100041,paid,TOOWOOMBA TRUCK SPARES,,13/03/2024,,4031 - U Bolt 17.5x5x7/8,Parts,34.53,2.0,69.06,6.906,75.97,Y,4031,,U Bolt 17.5x5x7/8,,54862
PO100042,paid,TOP TYRES AUSTRAILIA PTY LTD,,14/03/2024,,CA3113501514FS - 31x13.5-15SL (14) TL Farm Service Rib Carlisle,Earthmoving Tyres,284.0,1.0,284.0,28.4,312.4,Y,CA3113501514FS,carlisle,31x13.5-15SL (14) TL Farm Service Rib Carlisle,,
PO100043,paid,TOP TYRES AUSTRAILIA PTY LTD,,14/03/2024,,L2657015AT100 - 265/70R15 112T TL CROSSWIND A/T100 LINGLONG,4WD Tyres,128.0,2.0,256.0,25.6,281.6,Y,L2657015AT100,linglong,265/70R15 112T TL CROSSWIND A/T100 LINGLONG,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,2024736 - Damper Kit,Parts,202.1,1.0,202.1,20.21,222.31,Y,2024736,,Damper Kit,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,4167727 - Gasket,Parts,30.13,2.0,60.26,6.026,66.29,Y,4167727,,Gasket,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,1418589 - Gasket,Parts,28.24,1.0,28.24,2.824,31.06,Y,1418589,,Gasket,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,2388292 - Bolt-Flanged,Parts,26.57,12.0,318.84,31.884,350.72,Y,2388292,,Bolt-Flanged,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,6I0563 - Nut,Parts,2.33,4.0,9.32,0.932,10.25,Y,6I0563,,Nut,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,4374170 - Gasket,Parts,3.76,1.0,3.76,0.376,4.14,Y,4374170,,Gasket,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,2780017 - Gasket,Parts,9.38,1.0,9.380000000000001,0.9380000000000001,10.32,Y,2780017,,Gasket,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,118738 - Filter,Parts,11.27,1.0,11.27,1.127,12.4,Y,118738,,Filter,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,3487676 - Cover As,Parts,216.16,1.0,216.16,21.616,237.78,Y,3487676,,Cover As,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,2229021 - Element As-S,Parts,46.76,1.0,46.76,4.676,51.44,Y,2229021,,Element As-S,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,2229020 - Element As-P,Parts,58.79,1.0,58.79,5.879,64.67,Y,2229020,,Element As-P,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,FREIGHT - Freight,,29.9,1.0,29.9,2.99,32.89,Y,FREIGHT,,Freight,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,PM-FTD-1000 - FTD1-827,Parts,476.19,0.0,0.0,0.0,0.0,Y,PM-FTD-1000,,FTD1-827,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,3842286 - Manifold,Parts,1584.46,0.0,0.0,0.0,0.0,Y,3842286,,Manifold,,
PO100045,paid,HASTINGS DEERING,,15/03/2024,,1807487 - FILTER,Service Parts & Kits,92.77,0.0,0.0,0.0,0.0,Y,1807487,CAT,FILTER (cabin),,
PO100046,paid,REPCO Chinchilla,,15/03/2024,,Z418 - Z418 OILFILTER,Parts,11.0,10.0,110.0,11.0,121.0,Y,Z418,REPCO,Z418 OILFILTER,,
PO100047,paid,Western Truck Group,,15/03/2024,,21091651 - Knob,Parts,10.94,1.0,10.94,1.094,12.03,Y,21091651,,Knob,,
PO100047,paid,Western Truck Group,,15/03/2024,,21091652 - Plug,Parts,7.57,1.0,7.57,0.757,8.33,Y,21091652,,Plug,,
PO100048,paid,REPCO Chinchilla,,18/03/2024,,R2593P - OIL FILTER CARTIDGE,Parts,35.75,1.0,35.75,3.575,39.33,Y,R2593P,,OIL FILTER CARTIDGE,,
PO100050,paid,AUSSIE POWERSPORTS,,18/03/2024,,AE142709MG - Kanati Mongrel 10ply Tyre 27x9-14R,ATV / Mower Tyres,223.6,2.0,447.2,44.72,491.92,Y,AE142709MG,Kanati,Kanati Mongrel 10ply Tyre 27x9-14R,,
PO100050,paid,AUSSIE POWERSPORTS,,18/03/2024,,AE142711MG - Kanati Mongrel 10ply Tyre 27x11-14R,ATV / Mower Tyres,245.96,2.0,491.92,49.192,541.11,Y,AE142711MG,Kanati,Kanati Mongrel 10ply Tyre 27x11-14R,,
PO100050,paid,AUSSIE POWERSPORTS,,18/03/2024,,FREIGHT - Freight,,59.95,1.0,59.95,5.995,65.95,Y,FREIGHT,,Freight,,
PO100051,paid,REPCO Chinchilla,,18/03/2024,,R534LL - 12V 21/5W Wedge W3x16Q,Parts,2.65,20.0,53.0,5.3,58.3,Y,R534LL,,12V 21/5W Wedge W3x16Q,,
