Credit Note Number,Credit From Invoice,Customer,Special Account Number,Date,Description,Details,Unit Price,Quantity,Net Amount,Tax Amount,Total Amount,Taxable,Stock Number,Stock Name,Inventory Asset Account Code,Inventory Asset Account Name,Sales Account Code,Sales Account Name,Raised By,Tags,Created At,Tracking Category Names,Tracking Category Values,Finalized
CRD1235,WAN56414,Parkside Group,,23/07/2024,EXSNX120-7LSMF - EXSNX120-7L 4X4 1000 CCA SMF,,254.5455,1.0,254.5455,25.4546,280.0001,Y,EXSNX120-7LSMF,EXSNX120-7L 4X4 1000 CCA SMF,,,,,David Smith,"",2024-07-23 08:44:56 +1000,"","",Y
CRD1236,WAN56393,Pitkin Family Trust,,24/07/2024,12N24-4SMF - Lawnmower series starting battery,,109.0909,1.0,109.0909,10.9091,120.0,Y,12N24-4SMF,Lawnmower series starting battery,,,,,Kieran Smith,"",2024-07-24 11:37:55 +1000,"","",Y
CRD1237,WAN56452,ABH Livestock Transport,,31/07/2024,SCRAPTT - Recycle Truck Tyres,,32.0,4.0,128.0,12.8,140.8,Y,SCRAPTT,Recycle Truck Tyres,,,,,David Smith,"",2024-07-31 13:48:36 +1000,"","",Y
CRD1238,WAN56238,South East Welding,,02/08/2024,934-29060+18 - RACELINE CLUTCH MATTE Black 20x9 18P 6x139.7 CB106.1,,325.0,4.0,1300.0,130.0,1430.0,Y,934-29060+18,RACELINE CLUTCH MATTE Black 20x9 18P 6x139.7 CB106.1,,,200,Sales,Troy,"",2024-08-02 08:24:33 +1000,"","",Y
CRD1238,WAN56238,South East Welding,,02/08/2024,K33125020601 - 33x12.50R20LT 119R TL KR-601 Klever R/T Kenda,,320.0,4.0,1280.0,128.0,1408.0,Y,K33125020601,33x12.50R20LT 119R TL KR-601 Klever R/T Kenda,,,,,Troy,"",2024-08-02 08:24:33 +1000,"","",Y
CRD1241,WAN56148,Tyres4u/TEN-24,,05/08/2024,98334 - Call Out TEN-24 First hr,,150.0,1.0,150.0,15.0,165.0,Y,98334,Call Out TEN-24 First hr,,,200,Sales,Troy,"",2024-08-05 17:10:25 +1000,"","",Y
CRD1241,WAN56148,Tyres4u/TEN-24,,05/08/2024,98333 - Segment Payment TEN-24 Per 15 min (Business hours),,25.0,12.0,300.0,30.0,330.0,Y,98333,Segment Payment TEN-24 Per 15 min (Business hours),,,200,Sales,Troy,"",2024-08-05 17:10:25 +1000,"","",Y
CRD1241,WAN56148,Tyres4u/TEN-24,,05/08/2024,98308 - Replaced tyre disposal cost,,30.0,1.0,30.0,3.0,33.0,Y,98308,Replaced tyre disposal cost,,,200,Sales,Troy,"",2024-08-05 17:10:25 +1000,"","",Y
CRD1241,WAN56148,Tyres4u/TEN-24,,05/08/2024,38565225106ZS - 385/65R22.5 158L (160J) 106ZS - B5167,,1045.31,1.0,1045.31,104.531,1149.841,Y,38565225106ZS,385/65R22.5 158L (160J) 106ZS - B5167,,,,,Troy,"",2024-08-05 17:10:25 +1000,"","",Y
CRD1241,WAN56148,Tyres4u/TEN-24,,05/08/2024,98339 - Segment Payment Ather hrs TEN-24 Per 15 min (After first two hours),,30.0,12.0,360.0,36.0,396.0,Y,98339,Segment Payment Ather hrs TEN-24 Per 15 min (After first two hours),,,200,Sales,Troy,"",2024-08-05 17:10:25 +1000,"","",Y
CRD1241,WAN56148,Tyres4u/TEN-24,,05/08/2024,Rounding to 5c,,0.01,1.0,0.01,0,0.01,N,,,,,,,Troy,"",2024-08-05 17:10:25 +1000,"","",Y
CRD1242,WAN56730,JUANDAH AGGREGATION TRUST,,28/08/2024,DIN66HSMF - European series starting battery,,200.0,1.0,200.0,20.0,220.0,Y,DIN66HSMF,European series starting battery,,,,,David Smith,"",2024-08-28 15:08:43 +1000,"","",Y
CRD1243,WAN56658,Craig Cook,,04/09/2024,LAB - Tyre Fitter Labour,,100.0,1.0,100.0,10.0,110.0,Y,LAB,Tyre Fitter Labour,,,,,David Smith,"",2024-09-04 15:32:31 +1000,"","",Y
CRD1244,WAN56678,NOLAN & OFARRELL,,05/09/2024,3098NS - 4.80/4.00-8 Deestone D602,,32.7273,1.0,32.7273,3.2727,36.0,Y,3098NS,4.80/4.00-8 Deestone D602,,,,,David Smith,"",2024-09-05 13:43:56 +1000,"","",Y
CRD1244,WAN56678,NOLAN & OFARRELL,,05/09/2024,TU400813 - Tube 4.00-8 TR13,,12.33,1.0,12.33,1.233,13.563,Y,TU400813,Tube 4.00-8 TR13,,,,,David Smith,"",2024-09-05 13:43:56 +1000,"","",Y
CRD1244,WAN56678,NOLAN & OFARRELL,,05/09/2024,FIT - Fitting,,10.0,1.0,10.0,1.0,11.0,Y,FIT,Fitting,,,,,David Smith,"",2024-09-05 13:43:56 +1000,"","",Y
CRD1244,WAN56678,NOLAN & OFARRELL,,05/09/2024,Rounding to 10c,,0.03,1.0,0.03,0,0.03,N,,,,,,,David Smith,"",2024-09-05 13:43:56 +1000,"","",Y
CRD1245,WAN56838,Nacap Pty Ltd,,12/09/2024,2656517GO16 - 265/65R17 LT 120/117Q G016 X-AT YOKOHMAMA,,345.4545,5.0,1727.2727,172.7273,1900.0,Y,2656517GO16,265/65R17 LT 120/117Q G016 X-AT YOKOHMAMA,,,,,Kieran Smith,"",2024-09-12 07:28:06 +1000,"","",Y
CRD1245,WAN56838,Nacap Pty Ltd,,12/09/2024,SCRAP - Recycle charge,,9.4,5.0,47.0,4.7,51.7,Y,SCRAP,Recycle charge,,,,,Kieran Smith,"",2024-09-12 07:28:06 +1000,"","",Y
CRD1245,WAN56838,Nacap Pty Ltd,,12/09/2024,WA - Wheel Alignment,,90.0,1.0,90.0,9.0,99.0,Y,WA,Wheel Alignment,,,,,Kieran Smith,"",2024-09-12 07:28:06 +1000,"","",Y
CRD1246,,OzWorx,,11/09/2024,code/description,,2092.2545,1.0,2092.2545,209.2255,2301.48,Y,,,,,,,Leonie,"",2024-09-16 09:08:16 +1000,"","",N
CRD1247,,Earthco Australia,,01/11/2023,code/description,,0.0182,1.0,0.0182,0.0018,0.02,Y,,,,,,,Leonie,"",2024-09-16 09:12:05 +1000,"","",N
CRD1248,,WANDOAN TYRERIGHT,,30/06/2024,code/description,,364.9545,1.0,364.9545,36.4955,401.45,Y,,,,,,,Leonie,"",2024-09-16 09:14:19 +1000,"","",N
